#MJD,cps,e_cps
60378.49162,1.748e-01,1.217e-01
60378.49278,2.338e-01,1.300e-01
60378.49394,1.556e-01,1.355e-01
60378.55875,9.843e-02,1.362e-01
60378.62241,8.306e-02,1.332e-01
60378.62357,4.572e-02,1.431e-01
60378.68723,9.511e-02,1.377e-01
60378.74625,1.733e-01,1.135e-01
60378.74741,1.489e-01,1.153e-01
60378.74857,2.023e-01,1.194e-01
60378.74973,1.459e-01,1.242e-01
60378.75088,1.219e-01,1.307e-01
60378.75204,1.662e-01,1.467e-01
60378.81107,1.835e-01,1.141e-01
60378.81223,1.715e-01,1.142e-01
60378.81338,9.732e-02,1.165e-01
60378.81454,1.670e-01,1.260e-01
60378.81570,1.006e-01,1.301e-01
60378.87588,1.158e-01,1.134e-01
60378.87704,1.887e-01,1.167e-01
60378.87820,7.552e-02,1.160e-01
60378.87936,1.239e-01,1.260e-01
60378.88051,1.186e-01,1.347e-01
60378.94070,2.878e-01,1.232e-01
60378.94186,1.267e-01,1.186e-01
60378.94301,1.572e-01,1.253e-01
60378.94417,2.791e-02,1.272e-01
60379.00444,1.202e-01,1.252e-01
60379.00559,9.394e-02,1.281e-01
60379.00675,2.057e-02,1.305e-01
60379.00791,1.409e-01,1.424e-01
60379.06925,6.490e-02,1.309e-01
60379.07041,1.954e-01,1.482e-01
60379.07157,1.592e-01,1.593e-01
60379.07272,1.098e-01,1.717e-01
60379.13407,6.441e-02,1.260e-01
60379.13522,2.063e-01,1.433e-01
60379.13638,-8.489e-02,1.537e-01
60379.19888,1.248e-01,1.245e-01
60379.20004,9.855e-02,1.311e-01
60379.20120,1.045e-01,1.487e-01
60379.26254,1.046e-01,1.176e-01
60379.26370,1.059e-01,1.177e-01
60379.26485,1.169e-01,1.280e-01
60379.32735,1.629e-02,1.084e-01
60379.32851,8.175e-02,1.133e-01
60379.32967,2.438e-01,1.272e-01
60379.39217,1.096e-01,1.111e-01
